part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
H1,RBS,,,,,0.56;0.78;0.24,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pLuxStar,Promoter,,,,,0.0;0.0;0.0,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,
